Date,Open,Close,short,lag1,lag2,lag3,lag4,lag5,s1,s2,s3,s4,s5
2013-08-08,16.566429138183594,16.464643478393555,1,16.606428146362305,16.616071701049805,16.766071319580078,16.519285202026367,16.309999465942383,16.606428146362305,8.308035850524902,5.588690439860026,4.129821300506592,3.2619998931884764
2013-08-09,16.3799991607666,16.230356216430664,1,16.464643478393555,16.606428146362305,16.616071701049805,16.766071319580078,16.519285202026367,16.464643478393555,8.303214073181152,5.538690567016602,4.1915178298950195,3.3038570404052736
2013-08-12,16.316429138183594,16.691429138183594,0,16.230356216430664,16.464643478393555,16.606428146362305,16.616071701049805,16.766071319580078,16.230356216430664,8.232321739196777,5.535476048787435,4.154017925262451,3.3532142639160156
2013-08-13,16.819286346435547,17.484643936157227,0,16.691429138183594,16.230356216430664,16.464643478393555,16.606428146362305,16.616071701049805,16.691429138183594,8.115178108215332,5.488214492797852,4.151607036590576,3.3232143402099608
2013-08-14,17.781429290771484,17.803571701049805,0,17.484643936157227,16.691429138183594,16.230356216430664,16.464643478393555,16.606428146362305,17.484643936157227,8.345714569091797,5.410118738810222,4.116160869598389,3.321285629272461
2013-08-15,17.729286193847656,17.782499313354492,0,17.803571701049805,17.484643936157227,16.691429138183594,16.230356216430664,16.464643478393555,17.803571701049805,8.742321968078613,5.563809712727864,4.057589054107666,3.292928695678711
2013-08-16,17.862499237060547,17.940357208251953,0,17.782499313354492,17.803571701049805,17.484643936157227,16.691429138183594,16.230356216430664,17.782499313354492,8.901785850524902,5.828214645385742,4.172857284545898,3.2460712432861327
2013-08-19,18.012142181396484,18.13357162475586,0,17.940357208251953,17.782499313354492,17.803571701049805,17.484643936157227,16.691429138183594,17.940357208251953,8.891249656677246,5.934523900349935,4.371160984039307,3.3382858276367187
2013-08-20,18.203929901123047,17.895357131958008,1,18.13357162475586,17.940357208251953,17.782499313354492,17.803571701049805,17.484643936157227,18.13357162475586,8.970178604125977,5.927499771118164,4.450892925262451,3.4969287872314454
2013-08-21,17.9853572845459,17.941429138183594,1,17.895357131958008,18.13357162475586,17.940357208251953,17.782499313354492,17.803571701049805,17.895357131958008,9.06678581237793,5.980119069417317,4.445624828338623,3.560714340209961
2013-08-22,18.03499984741211,17.96285629272461,1,17.941429138183594,17.895357131958008,18.13357162475586,17.940357208251953,17.782499313354492,17.941429138183594,8.947678565979004,6.04452387491862,4.485089302062988,3.5564998626708983
2013-08-23,17.973928451538086,17.893571853637695,1,17.96285629272461,17.941429138183594,17.895357131958008,18.13357162475586,17.940357208251953,17.96285629272461,8.970714569091797,5.965119043986003,4.533392906188965,3.5880714416503907
2013-08-26,17.883928298950195,17.963214874267578,0,17.893571853637695,17.96285629272461,17.941429138183594,17.895357131958008,18.13357162475586,17.893571853637695,8.981428146362305,5.980476379394531,4.473839282989502,3.626714324951172
2013-08-27,17.78571319580078,17.449642181396484,1,17.963214874267578,17.893571853637695,17.96285629272461,17.941429138183594,17.895357131958008,17.963214874267578,8.946785926818848,5.987618764241536,4.485357284545898,3.5790714263916015
2013-08-28,17.35714340209961,17.532142639160156,0,17.449642181396484,17.963214874267578,17.893571853637695,17.96285629272461,17.941429138183594,17.449642181396484,8.981607437133789,5.964523951212565,4.490714073181152,3.5882858276367187
2013-08-29,17.558929443359375,17.560714721679688,0,17.532142639160156,17.449642181396484,17.963214874267578,17.893571853637695,17.96285629272461,17.532142639160156,8.724821090698242,5.987738291422526,4.473392963409424,3.592571258544922
